"","from","to"
"1","Aboriginal Heritage Act 1988","Aboriginal Heritage Act 1988"
"2","Aboriginal Heritage Act 1988","Aboriginal Heritage Act 1988"
"3","Aboriginal Heritage Act 1988","Aboriginal Heritage Act 1988"
"4","Aboriginal Heritage Act 1988","Mining Act 1971"
"5","Aboriginal Heritage Act 1988","Aboriginal Heritage Act 1988"
"6","Aboriginal Lands Parliamentary Standing Committee Act 2003","Aboriginal Lands Parliamentary Standing Committee Act 2003"
"7","Aboriginal Lands Parliamentary Standing Committee Act 2003","Aboriginal Lands Parliamentary Standing Committee Act 2003"
"8","Aboriginal Lands Parliamentary Standing Committee Act 2003","Aboriginal Lands Parliamentary Standing Committee Act 2003"
"9","Aboriginal Lands Parliamentary Standing Committee Act 2003","Parliamentary Remuneration Act 1990"
"10","Aboriginal Lands Trust Act 2013","Aboriginal Lands Trust Act 2013"
"11","Aboriginal Lands Trust Act 2013","Aboriginal Lands Trust Act 2013"
"12","Aboriginal Lands Trust Act 2013","Public Intoxication Act 1984"
"13","Aboriginal Lands Trust Act 2013","Local Government Act 1999"
"14","Aboriginal Lands Trust Act 2013","Aboriginal Heritage Act 1988"
"15","Aboriginal Lands Trust Act 2013","Aboriginal Lands Parliamentary Standing Committee Act 2003"
"16","Aboriginal Lands Trust Act 2013","Real Property Act 1886"
"17","Acts Interpretation Act 1915","Acts Interpretation Act 1915"
"18","Acts Interpretation Act 1915","Acts Interpretation Act 1915"
"19","Acts Interpretation Act 1915","Acts Interpretation Act 1915"
"20","Acts Interpretation Act 1915","Acts Interpretation Act 1915"
"21","Acts Interpretation Act 1915","Justices of the Peace Act 2005"
"22","Adelaide Cemeteries Authority Act 2001","Adelaide Cemeteries Authority Act 2001"
"23","Adelaide Cemeteries Authority Act 2001","Adelaide Cemeteries Authority Act 2001"
"24","Adelaide Cemeteries Authority Act 2001","Public Corporations Act 1993"
"25","Adelaide Cemeteries Authority Act 2001","Adelaide Cemeteries Authority Act 2001"
"26","Adelaide Cemeteries Authority Act 2001","Burial and Cremation Act 2013"
"27","Adelaide Dolphin Sanctuary Act 2005","Adelaide Dolphin Sanctuary Act 2005"
"28","Adelaide Dolphin Sanctuary Act 2005","Adelaide Dolphin Sanctuary Act 2005"
"29","Adelaide Dolphin Sanctuary Act 2005","Adelaide Dolphin Sanctuary Act 2005"
"30","Adelaide Dolphin Sanctuary Act 2005","Aquaculture Act 2001"
"31","Adelaide Dolphin Sanctuary Act 2005","Coast Protection Act 1972"
"32","Adelaide Dolphin Sanctuary Act 2005","Development Act 1993"
"33","Adelaide Dolphin Sanctuary Act 2005","Environment Protection Act 1993"
"34","Adelaide Dolphin Sanctuary Act 2005","Harbors and Navigation Act 1993"
"35","Adelaide Dolphin Sanctuary Act 2005","Historic Shipwrecks Act 1981"
"36","Adelaide Dolphin Sanctuary Act 2005","Mining Act 1971"
"37","Adelaide Dolphin Sanctuary Act 2005","National Parks and Wildlife Act 1972"
"38","Adelaide Dolphin Sanctuary Act 2005","Native Vegetation Act 1991"
"39","Adelaide Festival Centre Trust Act 1971","Adelaide Festival Centre Trust Act 1971"
"40","Adelaide Festival Centre Trust Act 1971","Adelaide Festival Centre Trust Act 1971"
